"ma_lop","ngay","so_buoi_theo_lich","nhan_dang_hien_thi","ten_bai_giao_trinh_hien_hanh","da_day"
"CS1.SATA3.26.002","2026-07-18","4","Buổi 4 - HP1 - Lập trình di chuyển","HP1 -   Chiến Xa Tốc Độ","đã dạy"
"CS1.SATA3.26.002","2026-07-25","5","Buổi 5 - HP1 - Cảm biến dò line","HP1 -  Ôn tập kiến thức","đã dạy"
"CS1.SATA3.26.002","2026-08-01","6","Buổi 6 - HP1 - Lắp ráp khung gầm","HP1 - Vũ Công Robot","đã dạy"
"CS1.SATA3.26.002","2026-08-08","7","Buổi 7 - HP1 - Lắp ráp khung gầm nâng cao","HP1 - Trở Về Tuổi Thơ","đã dạy"
"CS1.SATA3.26.002","2026-08-15","8","Buổi 8 - HP1 - Cánh tay robot & servo","HP1 -  Kỹ Sư Làm Mát","đã dạy"
"CS1.SATA3.26.002","2026-08-22","9","Buổi 9 - HP1 - Lập trình theo kịch bản","HP1 - Thủy Thủ Tài Ba","đã dạy"
"CS1.SATA3.26.002","2026-08-29","10","Buổi 10 - HP1 - Dự án nhóm: robot phân loại","HP1 - Dự án cuối học phần","đã dạy"
"CS1.SATA3.26.002","2026-09-05","11","Buổi 11 - HP1 - Xử lý lỗi & tối ưu","HP1 - Demo cuối học phần","đã dạy"
"CS1.SATA3.26.002","2026-09-12","12","Buổi 12 - HP1 - Robot tránh vật cản","HP1 - Báo cáo cuối học phần","chưa diễn ra"
"CS1.SATA3.26.002","2026-09-19","13","Buổi 13 - HP2 - Ôn tập & kiểm tra","HP2 - Chiến Binh Cua Biển","chưa diễn ra"
"CS1.SATA3.26.002","2026-09-26","14","Buổi 14 - HP2 - Tổng kết & trình diễn","HP2 - Cỗ Máy Xúc Cát","chưa diễn ra"
"CS1.SATA3.26.001","2026-07-18","4","Buổi 4 - HP1 - Lập trình di chuyển","HP1 -   Chiến Xa Tốc Độ","đã dạy"
"CS1.SATA3.26.001","2026-07-25","5","Buổi 5 - HP1 - Cảm biến dò line","HP1 -  Ôn tập kiến thức","đã dạy"
"CS1.SATA3.26.001","2026-08-01","6","Buổi 6 - HP1 - Lắp ráp khung gầm","HP1 - Vũ Công Robot","đã dạy"
"CS1.SATA3.26.001","2026-08-08","7","Buổi 7 - HP1 - Lắp ráp khung gầm nâng cao","HP1 - Trở Về Tuổi Thơ","đã dạy"
"CS1.SATA3.26.001","2026-08-15","8","Buổi 8 - HP1 - Cánh tay robot & servo","HP1 -  Kỹ Sư Làm Mát","đã dạy"
"CS1.SATA3.26.001","2026-08-22","9","Buổi 9 - HP1 - Lập trình theo kịch bản","HP1 - Thủy Thủ Tài Ba","đã dạy"
"CS1.SATA3.26.001","2026-08-29","10","Buổi 10 - HP1 - Dự án nhóm: robot phân loại","HP1 - Dự án cuối học phần","đã dạy"
"CS1.SATA3.26.001","2026-09-12","12","Buổi 12 - HP1 - Robot tránh vật cản","HP1 - Báo cáo cuối học phần","chưa diễn ra"
"CS1.SATA3.26.001","2026-09-19","13","Buổi 13 - HP2 - Ôn tập & kiểm tra","HP2 - Chiến Binh Cua Biển","chưa diễn ra"
"CS1.SATA3.26.001","2026-09-26","14","Buổi 14 - HP2 - Tổng kết & trình diễn","HP2 - Cỗ Máy Xúc Cát","chưa diễn ra"
"CS2.SATA3.26.001","2026-07-01","4","Buổi 4 - HP1 - Lập trình di chuyển","HP1 -   Chiến Xa Tốc Độ","đã dạy"
"CS2.SATA3.26.001","2026-07-06","5","Buổi 5 - HP1 - Cảm biến dò line","HP1 -  Ôn tập kiến thức","đã dạy"
"CS2.SATA3.26.001","2026-07-08","6","Buổi 6 - HP1 - Lắp ráp khung gầm","HP1 - Vũ Công Robot","đã dạy"
"CS2.SATA3.26.001","2026-07-13","7","Buổi 7 - HP1 - Lắp ráp khung gầm nâng cao","HP1 - Trở Về Tuổi Thơ","đã dạy"
"CS2.SATA3.26.001","2026-07-15","8","Buổi 8 - HP1 - Cánh tay robot & servo","HP1 -  Kỹ Sư Làm Mát","đã dạy"
"CS2.SATA3.26.001","2026-07-20","9","Buổi 9 - HP1 - Lập trình theo kịch bản","HP1 - Thủy Thủ Tài Ba","đã dạy"
"CS2.SATA3.26.001","2026-07-22","10","Buổi 10 - HP1 - Dự án nhóm: robot phân loại","HP1 - Dự án cuối học phần","đã dạy"
"CS2.SATA3.26.001","2026-07-27","11","Buổi 11 - HP1 - Xử lý lỗi & tối ưu","HP1 - Demo cuối học phần","đã dạy"
"CS2.SATA3.26.001","2026-07-29","12","Buổi 12 - HP1 - Robot tránh vật cản","HP1 - Báo cáo cuối học phần","đã dạy"
"CS2.SATA3.26.001","2026-08-03","13","Buổi 13 - HP2 - Ôn tập & kiểm tra","HP2 - Chiến Binh Cua Biển","đã dạy"
"CS2.SATA3.26.001","2026-08-05","14","Buổi 14 - HP2 - Tổng kết & trình diễn","HP2 - Cỗ Máy Xúc Cát","đã dạy"
