"giao_trinh","bai_so","ten_hien_tai","ten_sau_khi_don","van_de"
"Giáo trình Sata 3 v1","4","HP1 -   Chiến Xa Tốc Độ","HP1 - Chiến Xa Tốc Độ","dấu cách lặp"
"Giáo trình Sata 3 v1","5","HP1 -  Ôn tập kiến thức","HP1 - Ôn tập kiến thức","dấu cách lặp"
"Giáo trình Sata 3 v1","8","HP1 -  Kỹ Sư Làm Mát","HP1 - Kỹ Sư Làm Mát","dấu cách lặp"
"Giáo trình Sata 3 v1","27","HP3 -  Kình Ngư Vượt Sóng","HP3 - Kình Ngư Vượt Sóng","dấu cách lặp"
"Giáo trình Sata 3 v1","29","HP3 -  Ôn tập kiến thức","HP3 - Ôn tập kiến thức","dấu cách lặp"
"Giáo trình Sata 3 v1","32","HP3 -  Bước Nhảy Kỉ Lục","HP3 - Bước Nhảy Kỉ Lục","dấu cách lặp"
"Giáo trình Sata 3 v1","34","HP3 -  Dự án cuối học phần","HP3 - Dự án cuối học phần","dấu cách lặp"
"Giáo trình Sata 3 v1","42","HP4 -  Chinh Phục Bầu Trời","HP4 - Chinh Phục Bầu Trời","dấu cách lặp"
"Giáo trình Sata 3 v1","43","HP4 -  Xưởng Cơ Khí","HP4 - Xưởng Cơ Khí","dấu cách lặp"
"Giáo trình Sata 3 v1","46","HP4 -  Dự án cuối khóa","HP4 - Dự án cuối khóa","dấu cách lặp"
"Giáo trình Sata 4 v1","3","HP1 -  Đèn tín hiệu giao thông","HP1 - Đèn tín hiệu giao thông","dấu cách lặp"
"Giáo trình Sata 4 v1","4","HP1 -  Dừng tại vạch kẻ đường","HP1 - Dừng tại vạch kẻ đường","dấu cách lặp"
"Giáo trình Sata 4 v1","7","HP1 -  Nhận diện màu sắc","HP1 - Nhận diện màu sắc","dấu cách lặp"
"Giáo trình Sata 4 v1","9","HP1 -  Xe robot tự hành","HP1 - Xe robot tự hành","dấu cách lặp"
"Giáo trình Sata 4 v1","10","HP1 -  Dự án cuối học phần","HP1 - Dự án cuối học phần","dấu cách lặp"
"Giáo trình Sata 4 v1","11","HP1 -  Demo cuối học phần","HP1 - Demo cuối học phần","dấu cách lặp"
"Giáo trình Sata 4 v1","16","HP2 -   Lập trình nhiệm vụ 1","HP2 - Lập trình nhiệm vụ 1","dấu cách lặp"
"Giáo trình Sata 4 v1","20","HP2 -  Tối ưu chương trình","HP2 - Tối ưu chương trình","dấu cách lặp"
"Giáo trình Sata 4 v1","21","HP2 -  Kiểm tra lắp ráp robot","HP2 - Kiểm tra lắp ráp robot","dấu cách lặp"
"Giáo trình Sata 4 v1","22","HP2 -  Kiểm tra lập trình","HP2 - Kiểm tra lập trình","dấu cách lặp"
"Giáo trình Sata 4 v1","23","HP2 -  Demo thi đấu","HP2 - Demo thi đấu","dấu cách lặp"
"Giáo trình Sata 4 v1","30","HP3 -  Đèn thông minh","HP3 - Đèn thông minh","dấu cách lặp"
"Giáo trình Sata 4 v1","37","HP4 -  Giới thiệu cuộc thi Robo","HP4 - Giới thiệu cuộc thi Robo","dấu cách lặp"
"Giáo trình Sata 4 v1","40","HP4 -  Lập trình nhiệm vụ 1","HP4 - Lập trình nhiệm vụ 1","dấu cách lặp"
"Giáo trình Sata 4 v1","41","HP4 -  Lập trình nhiệm vụ 2","HP4 - Lập trình nhiệm vụ 2","dấu cách lặp"
"Giáo trình Sata 4 v1","45","HP4 -  Kiểm tra lắp ráp robot","HP4 - Kiểm tra lắp ráp robot","dấu cách lặp"
"Giáo trình Sata 4 v1","46","HP4 -  Kiểm tra lập trình","HP4 - Kiểm tra lập trình","dấu cách lặp"
