BACKFILL cmu1exu0z0001f622xxghisl5 4800000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-2" | sach=BACKFILLSOCUDONORDCS1202 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1extzi0000f622h9wj7ikq(ORDCS1202D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu1i0004f622g2gq4mp2 1440000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-5" | sach=BACKFILLSOCUDONORDCS1205 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu1f0003f622e1w6f2dt(ORDCS1205D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu1p0007f622y6fpsho3 4800000 | memo="Backfill sổ cũ · đơn ORD--CS1--20-9" | sach=BACKFILLSOCUDONORDCS1209 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu1l0006f62239yn8qar(ORDCS1209D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu1u000af622ashbzz3n 2880000 | memo="Backfill sổ cũ · đơn ORD-CS1--20-11" | sach=BACKFILLSOCUDONORDCS12011 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu1r0009f622fjmns2ay(ORDCS12011D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu26000df6221hnv951q 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--26-5" | sach=BACKFILLSOCUDONORDCS2265 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu1z000cf622h61yclzq(ORDCS2265D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu2d000hf622m1ywt7h0 4320000 | memo="Backfill sổ cũ · đơn ORD-CS1--20-13" | sach=BACKFILLSOCUDONORDCS12013 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu2a000gf622xit6bycn(ORDCS12013D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu2j000kf622pqzekp1k 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--26-6" | sach=BACKFILLSOCUDONORDCS2266 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu2g000jf622ynnxmkbq(ORDCS2266D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu2x000rf622sswh94ij 4400000 | memo="Backfill sổ cũ · đơn ORD--CS2--26-3" | sach=BACKFILLSOCUDONORDCS2263 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu2u000qf6227cc3rvyi(ORDCS2263D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu2q000nf6225ozvfu1b 2400000 | memo="Backfill sổ cũ · đơn ORD-CS1--20-10" | sach=BACKFILLSOCUDONORDCS12010 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu2n000mf622mpc1y957(ORDCS12010D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu3d000yf622tyebl73b 4680000 | memo="Backfill sổ cũ · đơn ORD--CS2--24-5" | sach=BACKFILLSOCUDONORDCS2245 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu38000xf622lyrvj4u8(ORDCS2245D0)] | KHAC(parser bỏ sót)
BACKFILL cmu1exu3i0011f622ragmx9af 4420000 | memo="Backfill sổ cũ · đơn ORD--CS2--24-8" | sach=BACKFILLSOCUDONORDCS2248 | ma=null maCu=null sdt=null | bac=3:KHONG_DOC_DUOC parser= | hienTai=[cmu1exu3g0010f622jg531tar(ORDCS2248D0)] | KHAC(parser bỏ sót)
